Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet1/1/1   unassigned      YES unset  down                  down    
GigabitEthernet1/1/2   unassigned      YES unset  down                  down    
GigabitEthernet1/1/3   unassigned      YES unset  down                  down    
GigabitEthernet1/1/4   unassigned      YES unset  down                  down    
Te1/1/1                unassigned      YES unset  down                  down    
Te1/1/2                unassigned      YES unset  down                  down    
Te1/1/3                unassigned      YES unset  down                  down    
Te1/1/4                unassigned      YES unset  up                    up      
GigabitEthernet2/0/1   unassigned      YES unset  down                  down    
GigabitEthernet2/0/2   unassigned      YES unset  up                    up      
GigabitEthernet2/0/3   unassigned      YES unset  up                    up      
GigabitEthernet2/0/4   unassigned      YES unset  up                    up      
GigabitEthernet2/0/5   unassigned      YES unset  up                    up      
GigabitEthernet2/0/6   unassigned      YES unset  up                    up      
GigabitEthernet2/0/7   unassigned      YES unset  down                  down    
GigabitEthernet2/0/8   unassigned      YES unset  down                  down    
GigabitEthernet2/0/9   unassigned      YES unset  up                    down    
GigabitEthernet2/0/10  unassigned      YES unset  up                    up      
GigabitEthernet2/0/11  unassigned      YES unset  down                  down    
GigabitEthernet2/0/12  unassigned      YES unset  down                  down    
GigabitEthernet2/0/13  unassigned      YES unset  up                    up      
GigabitEthernet2/0/14  unassigned      YES unset  up                    up      
GigabitEthernet2/0/15  unassigned      YES unset  up                    up      
GigabitEthernet2/0/16  unassigned      YES unset  up                    up      
GigabitEthernet2/0/17  unassigned      YES unset  up                    up      
GigabitEthernet2/0/18  unassigned      YES unset  down                  down    
GigabitEthernet2/0/19  unassigned      YES unset  up                    up      
GigabitEthernet2/0/20  unassigned      YES unset  down                  down    
GigabitEthernet2/0/21  unassigned      YES unset  up                    up      
GigabitEthernet2/0/22  unassigned      YES unset  up                    up      
GigabitEthernet2/0/23  unassigned      YES unset  up                    up      
GigabitEthernet2/0/24  unassigned      YES unset  up                    up      
GigabitEthernet2/0/25  unassigned      YES unset  up                    up      
GigabitEthernet2/0/26  unassigned      YES unset  down                  down    
GigabitEthernet2/0/27  unassigned      YES unset  down                  down    
GigabitEthernet2/0/28  unassigned      YES unset  up                    up      
GigabitEthernet2/0/29  unassigned      YES unset  up                    up      
GigabitEthernet2/0/30  unassigned      YES unset  up                    up      
GigabitEthernet2/0/31  unassigned      YES unset  down                  down    
GigabitEthernet2/0/32  unassigned      YES unset  down                  down    
GigabitEthernet2/0/33  unassigned      YES unset  up                    up      
GigabitEthernet2/0/34  unassigned      YES unset  up                    up      
GigabitEthernet2/0/35  unassigned      YES unset  up                    up      
GigabitEthernet2/0/36  unassigned      YES unset  up                    up      
Te2/0/37               unassigned      YES unset  down                  down    
Te2/0/38               unassigned      YES unset  down                  down    
Te2/0/39               unassigned      YES unset  down                  down    
Te2/0/40               unassigned      YES unset  down                  down    
Te2/0/41               unassigned      YES unset  down                  down    
Te2/0/42               unassigned      YES unset  down                  down    
Te2/0/43               unassigned      YES unset  down                  down    
Te2/0/44               unassigned      YES unset  down                  down    
Te2/0/45               unassigned      YES unset  down                  down    
Te2/0/46               unassigned      YES unset  down                  down    
Te2/0/47               unassigned      YES unset  down                  down    
Te2/0/48               unassigned      YES unset  down                  down    
GigabitEthernet2/1/1   unassigned      YES unset  down                  down    
GigabitEthernet2/1/2   unassigned      YES unset  down                  down    
GigabitEthernet2/1/3   unassigned      YES unset  down                  down    
GigabitEthernet2/1/4   unassigned      YES unset  down                  down    
Te2/1/1                unassigned      YES unset  down                  down    
Te2/1/2                unassigned      YES unset  down                  down    
Te2/1/3                unassigned      YES unset  down                  down    
Te2/1/4                unassigned      YES unset  up                    up      
Te2/1/5                unassigned      YES unset  down                  down    
Te2/1/6                unassigned      YES unset  down                  down    
Te2/1/7                unassigned      YES unset  down                  down    
Te2/1/8                unassigned      YES unset  down                  down    
Fo2/1/1                unassigned      YES unset  down                  down    
Fo2/1/2                unassigned      YES unset  down                  down    
GigabitEthernet3/0/1   unassigned      YES unset  down                  down    
GigabitEthernet3/0/2   unassigned      YES unset  down                  down    
GigabitEthernet3/0/3   unassigned      YES unset  down                  down    
GigabitEthernet3/0/4   unassigned      YES unset  up                    up      
GigabitEthernet3/0/5   unassigned      YES unset  down                  down    
GigabitEthernet3/0/6   unassigned      YES unset  up                    up      
GigabitEthernet3/0/7   unassigned      YES unset  down                  down    
GigabitEthernet3/0/8   unassigned      YES unset  down                  down    
GigabitEthernet3/0/9   unassigned      YES unset  down                  down    
GigabitEthernet3/0/10  unassigned      YES unset  down                  down    
GigabitEthernet3/0/11  unassigned      YES unset  down                  down    
GigabitEthernet3/0/12  unassigned      YES unset  down                  down    
GigabitEthernet3/0/13  unassigned      YES unset  up                    up      
GigabitEthernet3/0/14  unassigned      YES unset  up                    up      
GigabitEthernet3/0/15  unassigned      YES unset  up                    up      
GigabitEthernet3/0/16  unassigned      YES unset  up                    up      
GigabitEthernet3/0/17  unassigned      YES unset  down                  down    
GigabitEthernet3/0/18  unassigned      YES unset  down                  down    
GigabitEthernet3/0/19  unassigned      YES unset  down                  down    
GigabitEthernet3/0/20  unassigned      YES unset  down                  down    
GigabitEthernet3/0/21  unassigned      YES unset  down                  down    
GigabitEthernet3/0/22  unassigned      YES unset  down                  down    
GigabitEthernet3/0/23  unassigned      YES unset  down                  down    
GigabitEthernet3/0/24  unassigned      YES unset  down                  down    
GigabitEthernet3/0/25  unassigned      YES unset  down                  down    
GigabitEthernet3/0/26  unassigned      YES unset  down                  down    
GigabitEthernet3/0/27  unassigned      YES unset  down                  down    
GigabitEthernet3/0/28  unassigned      YES unset  down                  down    
GigabitEthernet3/0/29  unassigned      YES unset  down                  down    
GigabitEthernet3/0/30  unassigned      YES unset  down                  down    
GigabitEthernet3/0/31  unassigned      YES unset  down                  down    
GigabitEthernet3/0/32  unassigned      YES unset  down                  down    
GigabitEthernet3/0/33  unassigned      YES unset  down                  down    
GigabitEthernet3/0/34  unassigned      YES unset  down                  down    
GigabitEthernet3/0/35  unassigned      YES unset  down                  down    
GigabitEthernet3/0/36  unassigned      YES unset  down                  down    
GigabitEthernet3/0/37  unassigned      YES unset  down                  down    
GigabitEthernet3/0/38  unassigned      YES unset  down                  down    
GigabitEthernet3/0/39  unassigned      YES unset  down                  down    
GigabitEthernet3/0/40  unassigned      YES unset  down                  down    
GigabitEthernet3/0/41  unassigned      YES unset  down                  down    
GigabitEthernet3/0/42  unassigned      YES unset  down                  down    
GigabitEthernet3/0/43  unassigned      YES unset  up                    up      
GigabitEthernet3/0/44  unassigned      YES unset  down                  down    
GigabitEthernet3/0/45  unassigned      YES unset  up                    up      
GigabitEthernet3/0/46  unassigned      YES unset  up                    up      
GigabitEthernet3/0/47  unassigned      YES unset  up                    up      
GigabitEthernet3/0/48  unassigned      YES unset  down                  down    
GigabitEthernet3/1/1   unassigned      YES unset  down                  down    
GigabitEthernet3/1/2   unassigned      YES unset  down                  down    
GigabitEthernet3/1/3   unassigned      YES unset  down                  down    
GigabitEthernet3/1/4   unassigned      YES unset  down                  down    
Te3/1/1                unassigned      YES unset  down                  down    
Te3/1/2                unassigned      YES unset  down                  down    
Te3/1/3                unassigned      YES unset  down                  down    
Te3/1/4                unassigned      YES unset  down                  down    
GigabitEthernet4/0/1   unassigned      YES unset  up                    up      
GigabitEthernet4/0/2   unassigned      YES unset  up                    up      
GigabitEthernet4/0/3   unassigned      YES unset  up                    up      
GigabitEthernet4/0/4   unassigned      YES unset  up                    up      
GigabitEthernet4/0/5   unassigned      YES unset  down                  down    
GigabitEthernet4/0/6   unassigned      YES unset  up                    up      
GigabitEthernet4/0/7   unassigned      YES unset  up                    up      
GigabitEthernet4/0/8   unassigned      YES unset  up                    up      
GigabitEthernet4/0/9   unassigned      YES unset  up                    up      
GigabitEthernet4/0/10  unassigned      YES unset  up                    up      
GigabitEthernet4/0/11  unassigned      YES unset  up                    up      
GigabitEthernet4/0/12  unassigned      YES unset  up                    up      
GigabitEthernet4/0/13  unassigned      YES unset  up                    up      
GigabitEthernet4/0/14  unassigned      YES unset  down                  down    
GigabitEthernet4/0/15  unassigned      YES unset  down                  down    
GigabitEthernet4/0/16  unassigned      YES unset  down                  down    
GigabitEthernet4/0/17  unassigned      YES unset  down                  down    
GigabitEthernet4/0/18  unassigned      YES unset  up                    up      
GigabitEthernet4/0/19  unassigned      YES unset  down                  down    
GigabitEthernet4/0/20  unassigned      YES unset  up                    up      
GigabitEthernet4/0/21  unassigned      YES unset  down                  down    
GigabitEthernet4/0/22  unassigned      YES unset  up                    up      
GigabitEthernet4/0/23  unassigned      YES unset  up                    up      
GigabitEthernet4/0/24  unassigned      YES unset  up                    up      
GigabitEthernet4/0/25  unassigned      YES unset  up                    up      
GigabitEthernet4/0/26  unassigned      YES unset  up                    up      
GigabitEthernet4/0/27  unassigned      YES unset  up                    up      
GigabitEthernet4/0/28  unassigned      YES unset  up                    up      
GigabitEthernet4/0/29  unassigned      YES unset  up                    up      
GigabitEthernet4/0/30  unassigned      YES unset  down                  down    
GigabitEthernet4/0/31  unassigned      YES unset  down                  down    
GigabitEthernet4/0/32  unassigned      YES unset  up                    up      
GigabitEthernet4/0/33  unassigned      YES unset  up                    up      
GigabitEthernet4/0/34  unassigned      YES unset  up                    up      
GigabitEthernet4/0/35  unassigned      YES unset  up                    up      
GigabitEthernet4/0/36  unassigned      YES unset  up                    up      
GigabitEthernet4/0/37  unassigned      YES unset  down                  down    
GigabitEthernet4/0/38  unassigned      YES unset  up                    up      
GigabitEthernet4/0/39  unassigned      YES unset  down                  down    
GigabitEthernet4/0/40  unassigned      YES unset  up                    up      
GigabitEthernet4/0/41  unassigned      YES unset  up                    up      
GigabitEthernet4/0/42  unassigned      YES unset  up                    up      
GigabitEthernet4/0/43  unassigned      YES unset  up                    up      
GigabitEthernet4/0/44  unassigned      YES unset  down                  down    
GigabitEthernet4/0/45  unassigned      YES unset  up                    up      
GigabitEthernet4/0/46  unassigned      YES unset  up                    up      
GigabitEthernet4/0/47  unassigned      YES unset  up                    up      
GigabitEthernet4/0/48  unassigned      YES unset  up                    up      
GigabitEthernet4/1/1   unassigned      YES unset  down                  down    
GigabitEthernet4/1/2   unassigned      YES unset  down                  down    
GigabitEthernet4/1/3   unassigned      YES unset  down                  down    
GigabitEthernet4/1/4   unassigned      YES unset  down                  down    
Te4/1/1                unassigned      YES unset  down                  down    
Te4/1/2                unassigned      YES unset  down                  down    
Te4/1/3                unassigned      YES unset  down                  down    
Te4/1/4                unassigned      YES unset  down                  down    
Port-channel1          unassigned      YES unset  up                    up
